periodo;fecha;hora;autopista;banda_y_o_ramal;pk;long_estacion;lat_estacion;condiciones_meteorologicas;superficie_de_la_via;lesionados;fallecidos;tipo_de_siniestro;moto;liviano;bus;camion
201401;1/1/2014;1;AU CAMPORA;ASCENDENTE;600;-58.392.452.073.017;-345.831.330.757.635;BUENO;SECA;1;0;COLISION CON OBSTACULO FIJO;0;1;0;0
201401;1/1/2014;22;AU 25 DE MAYO;ASCENDENTE;5900;-583.748.217.877.563;-345.925.888.097.729;BUENO;SECA;8;0;COLISION CON DOS O MAS VEHICULOS;0;2;0;0
201401;1/3/2014;7;AU CAMPORA;DESCENDENTE;600;-58.368.917.842.554.100;-346.112.420.249.771;BUENO;SECA;0;0;OBSTACULO NO FIJO;0;0;0;1
201401;1/4/2014;9;AU 25 DE MAYO;DESCENDENTE;4700;-583.689.503.833.679;-346.017.210.875.929;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;2;0;0
201401;1/6/2014;10;AU 25 DE MAYO;ASCENDENTE;5600;-58.420.997.041.077.900;-345.801.273.443.074;BUENO;SECA;2;0;SINIESTRO DE UN SOLO VEHICULO / SIN COLISION;1;0;0;0
201401;1/8/2014;11;AU 25 DE MAYO;DESCENDENTE;3200;-583.697.086.719.241;-3.462.830.131.247;BUENO;SECA;0;0;COLISION CON OBSTACULO FIJO;0;1;0;0
201401;15/1/2014;18;AU 25 DE MAYO;DESCENDENTE;8600;-583.809.896.041.082;-346.058.404.963.166;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;1;1;0
201401;15/1/2014;20;AU 25 DE MAYO;DESCENDENTE;1700;-58.389.253.260.153.200;-346.099.304.592.001;BUENO;SECA;2;0;SINIESTRO DE UN SOLO VEHICULO / SIN COLISION;1;0;0;0
201612;12/6/2016;14;AU PERTIO MORENO;ASCENDENTE;5700;-584.071.446.712.567;-345.839.145.725.724;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;1;0;0;0
201612;12/6/2016;20;AU PERTIO MORENO;DESCENDENTE;1000;-583.657.458.611.297;-3.461.555.142.799.740;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;1;0;1
201612;12/7/2016;4;AU PERTIO MORENO;DESCENDENTE;1900;-58.385.021.610.721.500;-346.013.128.134.582;BUENO;SECA;0;1;COLISION CON OBSTACULO FIJO;0;0;0;1
201612;12/7/2016;7;AU 25 DE MAYO;ASCENDENTE;4500;-58.388.948.867.519.500;-345.931.772.798.824;BUENO;SECA;1;0;COLISION CON DOS O MAS VEHICULOS;1;1;0;0
201612;12/7/2016;7;AU DELLEPIANE;ASCENDENTE;500;-584.065.992.807.793;-346.096.220.036.013;BUENO;SECA;1;0;COLISION CON DOS O MAS VEHICULOS;1;1;0;0
201612;12/7/2016;9;AU PERTIO MORENO;DESCENDENTE;1800;-584.263.198.647.396;-345.777.874.974.914;BUENO;SECA;1;0;COLISION CON DOS O MAS VEHICULOS;0;2;0;0
201612;12/7/2016;10;AU DELLEPIANE;ASCENDENTE;1500;;;BUENO;SECA;1;0;COLISION CON DOS O MAS VEHICULOS;1;1;0;0
201612;12/7/2016;14;AU 25 DE MAYO;DESCENDENTE;5000;-58.374.717.240.582;-346.099.593.400.598;BUENO;SECA;1;0;COLISION CON DOS O MAS VEHICULOS;1;0;0;0
201612;12/7/2016;16;AU 25 DE MAYO;ASCENDENTE;5800;-5.841.883.221.444.160;-34.606.398.525.093.300;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;1;1;0;0
201612;12/7/2016;18;AU 25 DE MAYO;ASCENDENTE;6300;-583.804.806.550.249;-346.173.731.525.033;BUENO;SECA;1;0;COLISION CON DOS O MAS VEHICULOS;1;1;0;0
201612;12/7/2016;19;AU 25 DE MAYO;DESCENDENTE;400;-583.775.489.312.645;-345.954.047.949.981;BUENO;SECA;1;0;COLISION CON DOS O MAS VEHICULOS;1;1;0;0
201612;12/8/2016;9;AU 25 DE MAYO;ASCENDENTE;1500;-58.441.788.509.931.700;-345.800.361.241.865;BUENO;SECA;1;0;COLISION CON OBSTACULO FIJO;0;1;0;0
