id_estacion;nombre_estacion;long_estacion;lat_estacion;domicilio_estacion;tipo_estacion;observaciones;horario_estacion
1.0;Facultad de Derecho;-58.392.452.073.017;-345.831.330.757.635;Av. Pres.Figueroa Alcorta y  Juan A.Bibiloni;AUTOMÁTICA;Abril 2015 (pasó de ser Manual a Automática);Estación automática: disponibilidad las 24 horas
2.0;Retiro;-583.748.217.877.563;-345.925.888.097.729;Av. Dr.Jose Ramos Mejia y Del Libertador Av;AUTOMÁTICA;Abril 2015 (pasó de ser Manual a Automática);Estación automática: disponibilidad las 24 horas
3.0;Aduana;-58.368.917.842.554.100;-346.112.420.249.771;Av. Ing.Huergo y Av. Belgrano;AUTOMÁTICA;Abril 2015 (pasó de ser Manual a Automática);Estación automática: disponibilidad las 24 horas
4.0;Plaza Roma;-583.689.503.833.679;-346.017.210.875.929;Lavalle y Bouchard;AUTOMÁTICA;Abril 2015 (pasó de ser Manual a Automática);Estación automática: disponibilidad las 24 horas
5.0;Plaza Italia;-58.420.997.041.077.900;-345.801.273.443.074;Av. Santa Fe y Av. Sarmiento;AUTOMÁTICA;Abril 2015 (pasó de ser Manual a Automática);Estación automática: disponibilidad las 24 horas
6.0;Parque Lezama;-583.697.086.719.241;-3.462.830.131.247;Av Martín García e Irala;AUTOMÁTICA;Abril 2015 (pasó de ser Manual a Automática);Estación automática: disponibilidad las 24 horas
7.0;Obelisco;-583.809.896.041.082;-346.058.404.963.166;Av. 9 de Julio y Tte. Gral Juan Domingo Perón;AUTOMÁTICA;Abril 2015 (pasó de ser Manual a Automática);Estación automática: disponibilidad las 24 horas
8.0;Congreso;-58.389.253.260.153.200;-346.099.304.592.001;Av. Hipólito Yrigoyen y Virrey Ceballos;AUTOMÁTICA;Abril 2015 (pasó de ser Manual a Automática);Estación automática: disponibilidad las 24 horas
9.0;Parque Las Heras;-584.071.446.712.567;-345.839.145.725.724;Parque Las Heras;AUTOMÁTICA;Abril 2015 (pasó de ser Manual a Automática);Estación automática: disponibilidad las 24 horas
10.0;Puerto Madero - UCA;-583.657.458.611.297;-3.461.555.142.799.740;Moreau de Justo 1500;AUTOMÁTICA;Abril 2015 (pasó de ser Manual a Automática);Estación automática: disponibilidad las 24 horas
